player,matches_played,balls_faced,total_runs,highest_score,batting_average,strike_rate,centuries,half_centuries,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,seasons_played,first_season,last_season,career_span
SM Boland,0,0,0,0,,,0,0,0,0,0,43,56,2,7.81,28.0,21.5,0,,,
SS Agarwal,0,0,0,0,,,0,0,0,0,0,24,42,1,10.5,42.0,24.0,0,,,
SS Mundhe,0,0,0,0,,,0,0,0,0,0,7,6,1,5.14,6.0,7.0,0,,,
SS Sarkar,0,0,0,0,,,0,0,0,0,0,25,34,1,8.16,34.0,25.0,0,,,
SSB Magala,0,0,0,0,,,0,0,0,0,0,37,52,1,8.43,52.0,37.0,0,,,
Suyash Sharma,0,0,0,0,,,0,0,0,0,0,264,381,10,8.66,38.1,26.4,0,,,
TP Sudhindra,0,0,0,0,,,0,0,0,0,0,74,137,1,11.11,137.0,74.0,0,,,
Tejas Baroka,0,0,0,0,,,0,0,0,0,0,21,33,0,9.43,,,0,,,
V Kaverappa,0,0,0,0,,,0,0,0,0,0,24,36,2,9.0,18.0,12.0,0,,,
Yash Thakur,0,0,0,0,,,0,0,0,0,0,432,702,24,9.75,29.25,18.0,0,,,
