player,matches_played,balls_faced,total_runs,highest_score,batting_average,strike_rate,centuries,half_centuries,fours,sixes,dismissals,balls_bowled,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,seasons_played,first_season,last_season,career_span
Shakib Al Hasan,52,665,795,66,19.39,119.55,0,2,73,21,41,1515,1864,63,7.38,29.59,24.05,9,2011,2021,2011-2021
Shashank Singh,19,272,423,68,35.25,155.51,0,2,33,25,12,19,25,1,7.89,25.0,19.0,2,2022,2024,2022-2024
Shivam Mavi,11,58,51,20,5.67,87.93,0,0,4,2,9,687,958,30,8.37,31.93,22.9,4,2018,2022,2018-2022
Shivam Sharma,2,3,5,4,5.0,166.67,0,0,1,0,1,114,165,4,8.68,41.25,28.5,1,2014,2014,2014-2014
Shivam Singh,1,3,2,2,,66.67,0,0,0,0,0,0,0,0,,,,1,2024,2024,2024-2024
Shoaib Ahmed,3,6,1,1,0.5,16.67,0,0,0,0,2,103,154,5,8.97,30.8,20.6,1,2009,2009,2009-2009
Shoaib Akhtar,1,8,2,2,2.0,25.0,0,0,0,0,1,46,54,5,7.04,10.8,9.2,1,2007/08,2007/08,2007/08-2007/08
Shoaib Malik,5,49,52,24,13.0,106.12,0,0,5,0,4,58,87,2,9.0,43.5,29.0,1,2007/08,2007/08,2007/08-2007/08
Shubman Gill,99,2432,3216,129,37.84,132.24,4,20,310,95,85,0,0,0,,,,7,2018,2024,2018-2024
Sikandar Raza,9,143,182,57,26.0,127.27,0,1,12,8,7,88,146,3,9.95,48.67,29.33,2,2023,2024,2023-2024
Simarjeet Singh,3,8,7,3,7.0,87.5,0,0,0,0,1,193,265,9,8.24,29.44,21.44,1,2022,2022,2022-2022
Sohail Tanvir,5,31,36,13,12.0,116.13,0,0,3,1,3,265,275,22,6.23,12.5,12.05,1,2007/08,2007/08,2007/08-2007/08
Sumit Kumar,3,26,18,9,9.0,69.23,0,0,2,1,2,22,38,0,10.36,,,1,2024,2024,2024-2024
Sunny Gupta,1,1,0,0,0.0,0.0,0,0,0,0,1,19,47,0,14.84,,,1,2012,2012,2012-2012
Sunny Singh,5,31,43,20,10.75,138.71,0,0,6,1,4,0,0,0,,,,1,2011,2011,2011-2011
Swapnil Singh,9,46,51,15,10.2,110.87,0,0,3,3,5,165,241,7,8.76,34.43,23.57,4,2016,2024,2016-2024
T Banton,2,22,18,10,9.0,81.82,0,0,1,1,2,0,0,0,,,,1,2020/21,2020/21,2020/21-2020/21
T Henderson,2,16,11,11,5.5,68.75,0,0,0,1,2,36,41,1,6.83,41.0,36.0,1,2009,2009,2009-2009
T Kohler-Cadmore,3,54,48,20,16.0,88.89,0,0,7,1,3,0,0,0,,,,1,2024,2024,2024-2024
T Kohli,3,20,11,7,3.67,55.0,0,0,0,1,3,0,0,0,,,,2,2007/08,2009,2007/08-2009
T Natarajan,2,5,3,3,,60.0,0,0,0,0,0,1401,2001,67,8.57,29.87,20.91,1,2020/21,2020/21,2020/21-2020/21
T Shamsi,1,4,2,2,,50.0,0,0,0,0,0,120,185,3,9.25,61.67,40.0,1,2021,2021,2021-2021
T Stubbs,17,239,405,71,36.82,169.46,0,3,26,26,11,25,29,4,6.96,7.25,6.25,3,2022,2024,2022-2024
T Taibu,3,26,31,15,10.33,119.23,0,0,3,0,3,0,0,0,,,,1,2007/08,2007/08,2007/08-2007/08
T Thushara,4,19,12,8,6.0,63.16,0,0,0,0,2,144,164,8,6.83,20.5,18.0,2,2009,2009/10,2009-2009/10
TA Boult,22,82,83,17,10.38,101.22,0,0,5,3,8,2428,3286,121,8.12,27.16,20.07,8,2017,2024,2017-2024
TD Paine,2,29,10,8,5.0,34.48,0,0,0,0,2,0,0,0,,,,1,2011,2011,2011-2011
TG Southee,19,108,120,36,9.23,111.11,0,0,8,4,13,1262,1774,47,8.43,37.74,26.85,8,2014,2022,2014-2022
TH David,35,417,659,46,28.65,158.03,0,0,38,46,23,0,0,0,,,,4,2021,2024,2021-2024
TK Curran,10,108,127,54,25.4,117.59,0,1,10,3,5,252,432,13,10.29,33.23,19.38,3,2018,2021,2018-2021
TL Seifert,3,26,26,21,8.67,100.0,0,0,4,0,3,0,0,0,,,,2,2021,2022,2021-2022
TL Suman,39,587,676,78,21.12,115.16,0,2,55,26,32,152,198,6,7.82,33.0,25.33,5,2009,2013,2009-2013
TM Dilshan,50,1047,1153,76,26.81,110.12,0,9,140,24,43,275,368,5,8.03,73.6,55.0,6,2007/08,2013,2007/08-2013
TM Head,25,458,772,102,36.76,168.56,1,5,76,40,21,58,113,2,11.69,56.5,29.0,3,2016,2024,2016-2024
TM Srivastava,3,11,8,7,8.0,72.73,0,0,0,0,1,0,0,0,,,,2,2007/08,2009,2007/08-2009
TR Birt,5,59,75,27,15.0,127.12,0,0,9,2,5,0,0,0,,,,1,2011,2011,2011-2011
TS Mills,5,14,8,6,2.0,57.14,0,0,0,1,4,218,349,11,9.61,31.73,19.82,2,2017,2022,2017-2022
TU Deshpande,4,15,21,20,21.0,140.0,0,0,2,1,1,831,1275,42,9.21,30.36,19.79,3,2020/21,2024,2020/21-2024
Tanush Kotian,1,32,24,24,24.0,75.0,0,0,3,0,1,0,0,0,,,,1,2024,2024,2024-2024
Tilak Varma,38,830,1156,84,39.86,139.28,0,6,90,58,29,23,28,0,7.3,,,3,2022,2024,2022-2024
U Kaul,1,1,0,0,,0.0,0,0,0,0,0,0,0,0,,,,1,2007/08,2007/08,2007/08-2007/08
UA Birla,1,15,7,7,7.0,46.67,0,0,1,0,1,0,0,0,,,,1,2013,2013,2013-2013
UBT Chand,20,314,300,58,15.0,95.54,0,1,32,9,20,0,0,0,,,,6,2011,2016,2011-2016
UT Khawaja,6,105,127,30,21.17,120.95,0,0,14,3,6,0,0,0,,,,1,2016,2016,2016-2016
UT Yadav,48,211,208,24,9.9,98.58,0,0,16,9,21,3190,4442,144,8.35,30.85,22.15,14,2009/10,2024,2009/10-2024
Umar Gul,4,19,39,24,13.0,205.26,0,0,1,5,3,153,198,12,7.76,16.5,12.75,1,2007/08,2007/08,2007/08-2007/08
Umran Malik,5,16,23,19,11.5,143.75,0,0,1,2,2,519,785,29,9.08,27.07,17.9,2,2022,2023,2022-2023
V Kohli,244,6236,8014,113,38.71,128.51,8,56,708,273,207,264,371,4,8.43,92.75,66.0,17,2007/08,2024,2007/08-2024
V Pratap Singh,1,1,0,0,0.0,0.0,0,0,0,0,1,211,300,10,8.53,30.0,21.1,1,2012,2012,2012-2012
V Sehwag,104,1833,2728,122,27.56,148.83,2,16,334,106,99,138,236,6,10.26,39.33,23.0,8,2007/08,2015,2007/08-2015
V Shankar,58,890,1115,63,25.34,125.28,0,6,80,45,44,258,344,9,8.0,38.22,28.67,8,2017,2024,2017-2024
V Viyaskanth,1,5,7,7,,140.0,0,0,0,0,0,60,90,1,9.0,90.0,60.0,1,2024,2024,2024-2024
VG Arora,7,17,9,2,4.5,52.94,0,0,0,0,2,418,598,19,8.58,31.47,22.0,3,2022,2024,2022-2024
VH Zol,2,26,29,16,14.5,111.54,0,0,3,1,2,0,0,0,,,,1,2014,2014,2014-2014
VR Aaron,12,73,50,17,10.0,68.49,0,0,2,2,5,1065,1527,44,8.6,34.7,24.2,7,2011,2020/21,2011-2020/21
VR Iyer,49,1000,1326,104,31.57,132.6,1,11,121,61,42,84,145,3,10.36,48.33,28.0,4,2021,2024,2021-2024
VRV Singh,2,3,4,4,2.0,133.33,0,0,1,0,2,371,549,12,8.88,45.75,30.92,1,2007/08,2007/08,2007/08-2007/08
VS Malik,2,7,7,6,7.0,100.0,0,0,1,0,1,212,268,6,7.58,44.67,35.33,2,2009/10,2014,2009/10-2014
VS Yeligati,1,2,2,2,2.0,100.0,0,0,0,0,1,32,61,0,11.44,,,1,2007/08,2007/08,2007/08-2007/08
VVS Laxman,20,271,282,52,14.84,104.06,0,1,33,5,19,0,0,0,,,,4,2007/08,2011,2007/08-2011
VY Mahesh,5,28,15,6,7.5,53.57,0,0,0,0,2,359,511,21,8.54,24.33,17.1,1,2007/08,2007/08,2007/08-2007/08
Vijaykumar Vyshak,4,13,14,13,7.0,107.69,0,0,0,1,2,243,396,13,9.78,30.46,18.69,2,2023,2024,2023-2024
Virat Singh,2,26,15,11,7.5,57.69,0,0,1,0,2,0,0,0,,,,1,2021,2021,2021-2021
Vishnu Vinod,6,58,56,30,9.33,96.55,0,0,3,3,6,0,0,0,,,,2,2017,2023,2017-2023
Vivrant Sharma,1,49,69,69,69.0,140.82,0,1,9,2,1,21,37,0,10.57,,,1,2023,2023,2023-2023
W Jaffer,8,129,130,50,16.25,100.78,0,1,14,3,8,0,0,0,,,,2,2007/08,2009,2007/08-2009
WA Mota,8,76,56,25,9.33,73.68,0,0,2,0,6,75,98,4,7.84,24.5,18.75,2,2007/08,2009,2007/08-2009
WD Parnell,13,86,65,16,6.5,75.58,0,0,4,1,10,758,968,35,7.66,27.66,21.66,5,2011,2023,2011-2023
WG Jacks,8,133,230,100,32.86,172.93,1,1,16,18,7,55,100,2,10.91,50.0,27.5,1,2024,2024,2024-2024
WP Saha,143,2368,2934,115,24.25,123.9,1,13,296,87,121,0,0,0,,,,17,2007/08,2024,2007/08-2024
WPUJC Vaas,11,73,81,20,10.12,110.96,0,0,2,3,8,288,364,18,7.58,20.22,16.0,3,2007/08,2009/10,2007/08-2009/10
Washington Sundar,38,341,378,40,13.5,110.85,0,0,32,9,28,1064,1335,37,7.53,36.08,28.76,8,2017,2024,2017-2024
X Thalaivan Sargunam,1,17,10,10,10.0,58.82,0,0,0,0,1,0,0,0,,,,1,2013,2013,2013-2013
Y Gnaneswara Rao,1,18,19,19,19.0,105.56,0,0,3,0,1,6,7,0,7.0,,,1,2011,2011,2011-2011
Y Nagar,20,271,285,44,20.36,105.17,0,0,20,9,14,72,125,4,10.42,31.25,18.0,4,2009,2012,2009-2012
Y Prithvi Raj,1,1,0,0,,0.0,0,0,0,0,0,33,57,1,10.36,57.0,33.0,1,2019,2019,2019-2019
Y Venugopal Rao,52,865,985,71,22.39,113.87,0,3,77,37,44,222,338,6,9.14,56.33,37.0,6,2007/08,2014,2007/08-2014
YA Abdulla,1,1,0,0,,0.0,0,0,0,0,0,222,311,15,8.41,20.73,14.8,1,2009/10,2009/10,2009/10-2009/10
YBK Jaiswal,52,1095,1607,124,32.14,146.76,2,9,199,64,50,1,6,0,36.0,,,5,2020/21,2024,2020/21-2024
YK Pathan,153,2334,3222,100,29.29,138.05,1,14,263,161,110,1184,1443,42,7.31,34.36,28.19,12,2007/08,2019,2007/08-2019
YS Chahal,17,89,37,8,5.29,41.57,0,0,0,0,7,3628,4681,205,7.74,22.83,17.7,8,2014,2022,2014-2022
YV Dhull,3,23,16,13,5.33,69.57,0,0,1,0,3,0,0,0,,,,1,2023,2023,2023-2023
